2018_rank,City,State,2018_estimate,2010_census,Change (%),2016_land_area (km2),2016_population_density (/km2),Location,Description,Nickname,County,Govern_type,Govern_body,Govern_mayor,Area_land,Area_water,Area_metro,Elevation,CSA,Time_zone,ZIP_code,Area_code,FIPS_code,Airport,Website,Area_land (km2),Area_water (km2),Area_metro (km2),Elevation (m)
82,Chandler,Arizona,257165,236123,8.91,168.1,1472,33°16′58″N 111°51′18″W,"Chandler is a city in Maricopa County, Arizona, United States, and a prominent suburb of the Phoenix, Arizona, Metropolitan Statistical Area (MSA). It is bordered to the north and west by Tempe, to the north by Mesa, to the west by Phoenix, to the south by the Gila River Indian Community, and to the east by Gilbert. As of 2017, the population was estimated at 253,458 according to the United States Census Bureau.",,Maricopa,Council-Manager,,Kevin Hartke,64.94 sq mi (168.20 km2),0.10 sq mi (0.26 km2),,"1,214 ft (370 m)",,UTC−7 (MST (no DST)),"85225, 85224, 85286, 85248, 85249,85247,85246",480,04-12000,,www.chandleraz.gov,168.2,0.26,,370.0
83,Buffalo,New York,256304,261310,-1.92,104.6,2455,42°53′33″N 78°51′35″W,"Buffalo is the second largest city in the U.S. state of New York and the largest city in Western New York. As of 2017[update], the population was 258,612. The city is the county seat of Erie County and a major gateway for commerce and travel across the Canada–United States border, forming part of the bi-national Buffalo Niagara Region.","The Queen City, The City of Good Neighbors, The City of No Illusions, The Nickel City, Queen City of the Lakes, City of Light",Erie,,,Byron Brown (D),40.6 sq mi (105.2 km2),11.9 sq mi (30.8 km2),"1,134,210 (US: 49th)",600 ft (183 m),1213668.0,UTC−05:00 (EST),142,716,36-11000,,www.city-buffalo.com,105.2,30.8,,183.0
84,Lubbock,Texas,255885,229573,11.46,322.7,783,33°33′56″N 101°53′12″W,"Lubbock (/ˈlʌbək/ LUB-ək)
is the 11th-most populous city in the U.S. state of Texas and the county seat of Lubbock County. With a population of 256,042 in 2015, the city is also the 83rd-most populous in the United States. The city is in the northwestern part of the state, a region known historically and geographically as the Llano Estacado, and ecologically is part of the southern end of the High Plains, lying at the economic center of the Lubbock metropolitan area, which has a projected 2020 population of 327,424.",Hub City,Lubbock,Council-manager,,Dan Pope (R),122.41 sq mi (317.04 km2),1.14 sq mi (2.96 km2),"314,840","3,202 ft (976 m)",338115.0,UTC−6 (CST),"79401-79416, 79423, 79424, 79430, 79452, 79453, 79457, 79464, 79490, 79491, 79493, 79499",806,48-45000,,www.ci.lubbock.tx.us,317.04,2.96,314840.0,976.0
85,Scottsdale,Arizona,255310,217385,17.45,476.3,518,33°41′03″N 111°51′40″W,"Scottsdale is a city in the eastern part of Maricopa County, Arizona, United States, part of the Greater Phoenix Area. Named Scottsdale in 1894 after its founder Winfield Scott, a retired U.S. Army chaplain, the city was incorporated in 1951 with a population of 2,000. The 2015 population of the city was estimated to be 236,839 according to the U.S. Census Bureau. The New York Times described downtown Scottsdale as ""a desert version of Miami's South Beach"" and as having ""plenty of late night partying and a buzzing hotel scene."" Its slogan is ""The West's Most Western Town.""",,,,,,,,,,,,,,,,,,,,
86,Reno,Nevada,250998,225221,11.45,277.9,883,39°32′57″N 119°51′00″W,"Reno (/ˈriːnoʊ/ REE-noh) is a city in the U.S. state of Nevada, located in the northwestern part of the state, approximately 22 miles (35 km) from Lake Tahoe. Known as ""The Biggest Little City in the World"", Reno is known for its casino industry. Reno is the county seat of Washoe County. The city sits in a high desert river valley at the foot of the Sierra Nevada and its downtown area (along with Sparks) occupies a valley informally known as the Truckee Meadows. The city is named after Union Major General Jesse L. Reno, who was killed in action during the American Civil War at the Battle of South Mountain on Fox's Gap.",The Biggest Little City in the World,Washoe,Council-manager,,Hillary Schieve (ID),103.0 sq mi (266.8 km2),2.9 sq mi (7.4 km2),"425,417","4,505.6 ft (1,373 m)",,UTC−8 (Pacific (PST)),89500-89599,775,32-60600,Reno Stead Airport Reno–Tahoe International Airport,reno.gov,266.8,7.4,425417.0,1373.0
87,Glendale,Arizona,250702,226721,10.58,153.1,1607,33°31′59″N 112°11′24″W,"Glendale /ˈɡlɛndeɪl/ is a city in Maricopa County, Arizona, United States, located about nine miles (14 km) northwest from Downtown Phoenix. According to the 2017 U.S. Census estimates, the population of the city is 246,709.",,Maricopa,,,Jerry Weiers (Non-Partisan),59.36 sq mi (153.75 km2),0.39 sq mi (1.00 km2),,"1,152 ft (351 m)",,UTC-7 (MST (no DST)),85301-85318,"623,602",04-27820,,www.glendaleaz.com,153.75,1.0,,351.0
88,Gilbert,Arizona,248279,208453,19.11,176.1,1346,33°18′37″N 111°44′35″W,"Gilbert is a town in Maricopa County, Arizona, United States, located southeast of Phoenix, within the Phoenix metropolitan area. Once known as the ""Hay Shipping Capital of the World"", It is the sixth-largest municipality in Arizona, and the fifth-largest in the Metropolitan Phoenix Area.",,Maricopa,,,Jenn Daniels (R),68.00 sq mi (176.12 km2),0.20 sq mi (0.51 km2),"4,737,270 (US: 11th)","1,237 ft (377 m)",,UTC-7 (MST (no DST)),"85233, 85234, 85295-85298",480,04-27400,,www.gilbertaz.gov,176.12,0.51,,377.0
89,Winston–Salem,North Carolina,246328,229617,7.28,343.2,706,36°06′10″N 80°15′40″W,"Winston-Salem is a city in and the county seat of Forsyth County, North Carolina, United States. With a 2019 estimated population of 251,907 it is the second largest municipality in the Piedmont Triad region, the fifth most populous city in North Carolina, and the eighty-ninth most populous city in the United States. With a metropolitan population of 676,673 it is the fourth largest metropolitan area in North Carolina and is expected to keep that fourth spot for many more years. Winston-Salem is home to the tallest office building in the region, 100 North Main Street, formerly the Wachovia Building and now known locally as the Wells Fargo Center.","City of Arts & Innovation, Twin City, Cigarette City, Camel City, Winston, The Dash, Tre 4",Forsyth,,,Allen Joines (D),132.4 sq mi (343.0 km2),1.2 sq mi (3.2 km2),,970 ft (300 m),1642506.0,UTC−5 (Eastern),,336-743,,,www.cityofws.org,343.0,3.2,,300.0
90,North Las Vegas,Nevada,245949,216961,13.36,253.8,941,36°17′09″N 115°05′38″W,"North Las Vegas  is a city in Clark County, Nevada, United States, in the Las Vegas Valley. As of the 2010 census it had a population of 216,961, with an estimated population of 249,180 in 2017. The city was incorporated on May 16, 1946. It is in the Las Vegas MSA and is the fourth largest city in the state of Nevada.",,,,,,,,,,,,,,,,,,,,
91,Norfolk,Virginia,244076,242803,0.52,138.0,1776,36°55′23″N 76°14′41″W,"Norfolk (/ˈnɔːrfʊk/ NOR-fuuk) is an independent city in the Commonwealth of Virginia in the United States. At the 2010 census, the population was 242,803; in 2017, the population was estimated to be 244,703 making it the second-most populous city in Virginia after neighboring Virginia Beach.",,,,,Kenny Alexander (D),53.28 sq mi (137.99 km2),43.13 sq mi (111.70 km2),"1,672,319",7 ft (2.13 m),,UTC−5 (EST),"23501-23515, 23517-23521, 23523, 23529, 23541, 23551",757,51-57000,,www.norfolk.gov,137.99,111.7,1672319.0,2.13
92,Chesapeake,Virginia,242634,222209,9.19,876.7,271,36°40′46″N 76°18′06″W,"Chesapeake is an independent city in the Commonwealth of Virginia. As of the 2010 census, the population was 222,209; in 2013, the population was estimated to be 232,977, making it the third-most populous city in Virginia.",,None (Independent city),Council-Manager,,"Dr. Richard W. ""Rick"" West (R)",338.51 sq mi (876.74 km2),12.44 sq mi (32.21 km2)  2.9%,"1,672,319",,,UTC−5 (EST),23320-23328,757,51-16000,,www.cityofchesapeake.net,876.74,32.21,1672319.0,
93,Garland,Texas,242507,226876,6.89,147.6,1592,32°54′35″N 96°37′49″W,"Garland is a city in the U.S. state of Texas. It is located northeast of Dallas and is a part of the Dallas–Fort Worth metroplex. It is located almost entirely within Dallas County, except a small portion located in Collin and Rockwall counties. As of the 2010 census, the city had a population of 226,876, making it the 87th-most populous city in the United States of America and the 12th-most populous city in the state of Texas. In 2017, the population rose to 238,002. Garland is second only to the City of Dallas in Dallas County by population and has easy access to downtown Dallas via public transportation including two Dart Blue line stations and buses.",,Dallas,Council-Manager,,,57.1 sq mi (147.9 km2),0 sq mi (0.0 km2),,551 ft (168 m),,UTC-6 (CST),75040-75049,"214,972,469",48-29000,,garlandtx.gov,147.9,0.0,,168.0
94,Irving,Texas,242242,216290,12.0,173.5,1373,32°51′28″N 96°58′12″W,"Irving is a principal city in Dallas County in the U.S. state of Texas and it is also an inner ring suburb of the city of Dallas. According to a 2017 estimate from the United States Census Bureau, the city population was 240,373 making it the thirteenth-most populous city in Texas and 93rd most populous city in the U.S. The city of Irving is part of the Dallas–Fort Worth metroplex.",,Dallas,Council-Manager,,,67.9 sq mi (174.1 km2),0.4 sq mi (1.1 km2),"6,810,913 (4th)",482 ft (147 m),7206144.0,UTC-6 (CST),75000-75099,"972,817,469,214,",48-37000,,cityofirving.org,174.1,1.1,,147.0
95,Hialeah,Florida,238942,224669,6.35,55.7,4245,25°52′12″N 80°18′10″W,"Hialeah ( /ˌhaɪəˈliːə/) is a city in Miami-Dade County, Florida, United States. With the population of 239,673 at the 2018 United States Census, Hialeah is the sixth-largest city in Florida. It is a principal city of the Miami metropolitan area, which was home to an estimated 6,012,331 people at the 2015 census. It is located west-northwest of Miami, and is the only place in the county, other than Homestead, Florida, to have its own street grid numbered separately from the rest of the county (which is otherwise based on Miami Avenue at Flagler Street in downtown Miami, the county seat).",The City of Progress,Miami-Dade,Council-Mayor,,Carlos Hernández (R),21.48 sq mi (55.62 km2),1.34 sq mi (3.48 km2),"5,828,191",7 ft (2 m),,UTC−5 (EST),"33002, 33010-33018","305,786",12-30000,,www.hialeahfl.gov,55.62,3.48,5828191.0,2.0
96,Fremont,California,237807,214089,11.08,200.7,1161,37°29′40″N 121°56′28″W,"Fremont (/ˈfriːmɒnt/ FREE-mont) is a city in Alameda County, California, United States. It was incorporated on January 23, 1956, from the annexation of Centerville, Niles, Irvington, Mission San José, and Warm Springs. The city is named after John C. Frémont, an American explorer and former US Senator from California, Governor from Arizona, Major General in the Union Army, and the first Republican presidential candidate, in 1856.",,Alameda,Council–manager,,,77.47 sq mi (200.63 km2),10.15 sq mi (26.29 km2)  11.6%,,56 ft (17 m),,UTC−8 (Pacific),"94536-94539, 94555",510,06-26000,,www.fremont.gov,200.63,26.29,,17.0
97,Boise,Idaho,228790,205671,11.24,212.6,1049,43°36′01″N 116°13′54″W,"Boise (/ˈbɔɪsi/ (listen)) is the capital and most populous city of the U.S. state of Idaho, and is the county seat of Ada County. Located on the Boise River in southwestern Idaho, the population of Boise at the 2010 Census was 205,671, the 99th largest in the United States. Its estimated population in 2016 was 223,154.",The City of Trees,Ada,Strong-mayor,Boise City Council,Dave Bieter (D),82.09 sq mi (212.60 km2),0.71 sq mi (1.85 km2),"709,845 (US: 80th)","2,730 ft (830 m)",,UTC−7 (MST),83701-83799,"208,986",16-08830,,www.cityofboise.org,212.6,1.85,,830.0
98,Richmond,Virginia,228783,204214,12.03,154.9,1441,37°31′53″N 77°28′34″W,Richmond (/ˈrɪtʃmənd/) is the capital of the Commonwealth of Virginia in the United States. It is the center of the Richmond Metropolitan Statistical Area (MSA) and the Greater Richmond Region. Richmond was incorporated in 1742 and has been an independent city since 1871.,"RVA, The River City [not in citation given]",None (independent city),,,Levar Stoney (D),59.91 sq mi (155.18 km2),2.66 sq mi (6.88 km2),"1,263,617 (44th)",166.45 ft (45.7 m),,UTC-5 (EST),"23173, 23218-23242, 23249-23250, 23255, 23260-23261, 23269, 23273-23274, 23276, 23278-23279, 23282, 23284-23286, 23288-23295, 23297-23298",804,51-76000,,www.ci.richmond.va.us,155.18,6.88,,45.7
99,Baton Rouge,Louisiana,221599,229493,-3.44,222.5,1024,30°26′32″N 91°07′51″W,"Baton Rouge (/ˌbætən ˈruːʒ/ BAT-ən ROOZH; from French  bâton rouge [bɑtɔ̃ ʁuʒ] (listen), meaning 'red stick') is the capital of the U.S. state of Louisiana. Located on the eastern bank of the Mississippi River, it is the parish seat of East Baton Rouge Parish, the most populous parish in Louisiana. It is the 99th most populous city in the United States, and second-largest city in Louisiana after New Orleans. It is also the 16th most populous state capital. As of the U.S. Census Bureau's July 2017 estimate, Baton Rouge had a population of 227,549, down from 229,493 at the 2010 census. Baton Rouge is the center of Greater Baton Rouge, the second-largest metropolitan area in Louisiana, with a population of 834,159 as of 2017, up from 802,484 in 2010 and 829,719 in 2015.","Red Stick, The Capital City, B.R.",,,,Sharon Weston Broome (D),85.93 sq mi (222.55 km2),2.19 sq mi (5.68 km2),"830,480 (US: 70th)",56 ft (17 m),,UTC−6 (CST),"70801-70817, 70819-70823, 70825-70827, 70831, 70833, 70835-70837, 70874, 70879, 70883, 70884, 70892-70896, 70898",225,22-05000,,www.brgov.com,222.55,5.68,,17.0
100,Spokane,Washington,219190,208916,4.92,177.9,1214,47°40′01″N 117°26′00″W,"Spokane (/ˌspoʊˈkæn/ (listen) spoh-KAN) is a city in Spokane County in the state of Washington in the northwestern United States. It is located on the Spokane River west of the Rocky Mountain foothills in eastern Washington, 92 miles (148 km) south of the Canada–US border, 18 miles (30 km) from the Washington–Idaho border, and 228 miles (367 km) east of Seattle along Interstate 90.",The Lilac City,Spokane,Mayor-Council,Spokane City Council,David Condon (R),68.77 sq mi (178.11 km2),0.74 sq mi (1.91 km2)  1.28%,"564,236 (US: 98th)","1,843 ft (562 m)",721873.0,UTC−8 (PST),"99201, 99202, 99203, 99204, 99205, 99206, 99207, 99208, 992 , 992 , 992 , 99212, 992 , 992 , 992 , 99216, 99217, 99218, 992 , 992 , 99223, 99224, 992 , 99251, 99252, 99256, 99258, 99260, 99299",509,,,www.spokanecity.org,178.11,1.91,,562.0
